tax_area_id,tax_area_number,tax_area_state,tax_area_description,comment,is_inactive_after_year,inactive_after_year
2,1210,WA,1210,Converted,FALSE,
3,1212,WA,1212,Converted,FALSE,
4,1215,WA,1215,Converted,FALSE,
6,1222,WA,1222,Converted,FALSE,
7,1224,WA,1224,Converted,FALSE,
8,1225,WA,1225,Converted,FALSE,
9,1231,WA,1231,Converted,FALSE,
14,1331,WA,1331,Converted,FALSE,
18,1400,WA,1400,Converted,FALSE,
19,1404,WA,1404,Converted,FALSE,
20,1410,WA,1410,Converted,FALSE,
24,1424,WA,1424,Converted,FALSE,
25,1430,WA,1430,Converted,FALSE,
26,1431,WA,1431,Converted,FALSE,
29,1515,WA,1515,Converted,FALSE,
30,1516,WA,1516,Converted,FALSE,
31,1600,WA,1600,Converted,FALSE,
32,1610,WA,1610,Converted,FALSE,
33,1612,WA,1612,Converted,FALSE,
34,1613,WA,1613,Converted,FALSE,
35,1615,WA,1615,Converted,FALSE,
36,1616,WA,1616,Converted,FALSE,
37,1625,WA,1625,Converted,FALSE,
39,1715,WA,1715,Converted,FALSE,
40,1716,WA,1716,Converted,FALSE,
41,1731,WA,1731,Converted,FALSE,
44,1736,WA,1736,Converted,FALSE,
47,1813,WA,1813,Converted,FALSE,
48,B1,WA,B1,Converted,FALSE,
51,K0,WA,K0,Converted,FALSE,
53,K1,WA,K1,Converted,FALSE,
58,K18,WA,K18,Converted,FALSE,
64,P1,WA,P1,Converted,FALSE,
69,R1,WA,R1,Converted,FALSE,
70,R2,WA,R2,Converted,FALSE,
71,R3,WA,R3,Converted,FALSE,
73,R5,WA,R5,Converted,FALSE,
76,W1,WA,W1,Converted,FALSE,
79,W6,WA,W6,Converted,FALSE,
83,1412,WA,1412,Converted,FALSE,
85,B4,WA,B4,Converted,FALSE,
88,1444,WA,1444,Converted,FALSE,
90,1226,WA,1226,Converted,FALSE,
91,1227,WA,1227,Converted,FALSE,
92,1228,WA,1228,Converted,FALSE,
93,K24,WA,K24,Converted,FALSE,
101,K24 RA1,WA,Created for the Southridge Revitalization Area,Converted,FALSE,
102,K1 RA1,WA,Created for the Southridge Revitalization Area,Converted,FALSE,
107,R 8,WA,R 8,Converted,FALSE,
110,R1 RA1,WA,"C of R Industry Science, and Education Revitalization Area",Converted,FALSE,
118,K26,WA,K26       ,Converted,FALSE,
1068,R11,WA,R11,,FALSE,
1069,R12,WA,R12,,FALSE,
1070,,,,,FALSE,
